Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [15]  [230/300]  eta: 0:01:09  lr: 0.000100  loss: 2.7085 (2.8462)  loss_bbox: 1.3946 (1.5028)  loss_giou: 1.2789 (1.3005)  loss_unlabelcons: 0.0325 (0.0429)  time: 1.0204  data: 0.0236  max mem: 10468
Epoch: [15]  [240/300]  eta: 0:00:59  lr: 0.000100  loss: 2.6872 (2.8456)  loss_bbox: 1.3835 (1.5007)  loss_giou: 1.2855 (1.3021)  loss_unlabelcons: 0.0321 (0.0428)  time: 1.0020  data: 0.0329  max mem: 10468
Epoch: [15]  [250/300]  eta: 0:00:49  lr: 0.000100  loss: 2.8976 (2.8443)  loss_bbox: 1.5008 (1.4992)  loss_giou: 1.3133 (1.3026)  loss_unlabelcons: 0.0321 (0.0425)  time: 0.9312  data: 0.0234  max mem: 10468
Epoch: [15]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 2.8312 (2.8476)  loss_bbox: 1.4926 (1.5016)  loss_giou: 1.3319 (1.3037)  loss_unlabelcons: 0.0318 (0.0424)  time: 0.8983  data: 0.0264  max mem: 10468
Epoch: [15]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 2.8192 (2.8456)  loss_bbox: 1.4562 (1.5005)  loss_giou: 1.3027 (1.3029)  loss_unlabelcons: 0.0359 (0.0422)  time: 1.0149  data: 0.0237  max mem: 10468
Epoch: [15]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 2.8192 (2.8493)  loss_bbox: 1.4547 (1.5028)  loss_giou: 1.3204 (1.3039)  loss_unlabelcons: 0.0390 (0.0426)  time: 0.9866  data: 0.0233  max mem: 10468
Epoch: [15]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 2.8503 (2.8504)  loss_bbox: 1.4848 (1.5036)  loss_giou: 1.3229 (1.3039)  loss_unlabelcons: 0.0493 (0.0429)  time: 0.8820  data: 0.0324  max mem: 10468
Epoch: [15]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 2.8967 (2.8561)  loss_bbox: 1.5066 (1.5071)  loss_giou: 1.3229 (1.3060)  loss_unlabelcons: 0.0483 (0.0430)  time: 0.8971  data: 0.0204  max mem: 10468
Epoch: [15] Total time: 0:04:55 (0.9837 s / it)
Averaged stats: lr: 0.000100  loss: 2.8967 (2.8561)  loss_bbox: 1.5066 (1.5071)  loss_giou: 1.3229 (1.3060)  loss_unlabelcons: 0.0483 (0.0430)
epoch imgs: 4800
Epoch: [16]  [  0/300]  eta: 0:12:40  lr: 0.000100  loss: 2.3779 (2.3779)  loss_bbox: 1.2160 (1.2160)  loss_giou: 1.1165 (1.1165)  loss_unlabelcons: 0.0454 (0.0454)  time: 2.5347  data: 1.4896  max mem: 10468
Epoch: [16]  [ 10/300]  eta: 0:05:48  lr: 0.000100  loss: 2.7474 (2.7190)  loss_bbox: 1.4435 (1.4030)  loss_giou: 1.2488 (1.2769)  loss_unlabelcons: 0.0427 (0.0391)  time: 1.2033  data: 0.1554  max mem: 10468
Epoch: [16]  [ 20/300]  eta: 0:05:14  lr: 0.000100  loss: 2.7852 (2.7989)  loss_bbox: 1.4620 (1.4665)  loss_giou: 1.2718 (1.2921)  loss_unlabelcons: 0.0396 (0.0402)  time: 1.0512  data: 0.0303  max mem: 10468
Epoch: [16]  [ 30/300]  eta: 0:04:35  lr: 0.000100  loss: 2.9658 (2.8749)  loss_bbox: 1.5337 (1.5133)  loss_giou: 1.3378 (1.3157)  loss_unlabelcons: 0.0422 (0.0459)  time: 0.9170  data: 0.0248  max mem: 10468
Epoch: [16]  [ 40/300]  eta: 0:04:23  lr: 0.000100  loss: 2.9101 (2.8624)  loss_bbox: 1.4821 (1.4947)  loss_giou: 1.3673 (1.3197)  loss_unlabelcons: 0.0597 (0.0479)  time: 0.8957  data: 0.0236  max mem: 10468
Epoch: [16]  [ 50/300]  eta: 0:04:15  lr: 0.000100  loss: 2.8989 (2.8764)  loss_bbox: 1.4589 (1.5067)  loss_giou: 1.3520 (1.3263)  loss_unlabelcons: 0.0330 (0.0435)  time: 1.0275  data: 0.0351  max mem: 10468
Epoch: [16]  [ 60/300]  eta: 0:04:02  lr: 0.000100  loss: 2.8624 (2.8378)  loss_bbox: 1.4536 (1.4790)  loss_giou: 1.3424 (1.3168)  loss_unlabelcons: 0.0262 (0.0420)  time: 1.0084  data: 0.0234  max mem: 10468
Epoch: [16]  [ 70/300]  eta: 0:03:52  lr: 0.000100  loss: 2.8018 (2.8356)  loss_bbox: 1.3917 (1.4737)  loss_giou: 1.3036 (1.3222)  loss_unlabelcons: 0.0225 (0.0397)  time: 0.9767  data: 0.0243  max mem: 10468
Epoch: [16]  [ 80/300]  eta: 0:03:44  lr: 0.000100  loss: 2.6923 (2.8211)  loss_bbox: 1.3646 (1.4659)  loss_giou: 1.2860 (1.3147)  loss_unlabelcons: 0.0270 (0.0405)  time: 1.0428  data: 0.0243  max mem: 10468
Epoch: [16]  [ 90/300]  eta: 0:03:33  lr: 0.000100  loss: 2.8600 (2.8402)  loss_bbox: 1.5606 (1.4841)  loss_giou: 1.2788 (1.3151)  loss_unlabelcons: 0.0408 (0.0411)  time: 1.0465  data: 0.0233  max mem: 10468
Epoch: [16]  [100/300]  eta: 0:03:21  lr: 0.000100  loss: 2.9271 (2.8378)  loss_bbox: 1.5885 (1.4851)  loss_giou: 1.3007 (1.3097)  loss_unlabelcons: 0.0406 (0.0430)  time: 0.9733  data: 0.0348  max mem: 10468
Epoch: [16]  [110/300]  eta: 0:03:12  lr: 0.000100  loss: 2.6854 (2.8401)  loss_bbox: 1.3641 (1.4864)  loss_giou: 1.2494 (1.3085)  loss_unlabelcons: 0.0598 (0.0452)  time: 0.9884  data: 0.0235  max mem: 10468
Epoch: [16]  [120/300]  eta: 0:03:01  lr: 0.000100  loss: 2.7854 (2.8398)  loss_bbox: 1.4969 (1.4858)  loss_giou: 1.2870 (1.3081)  loss_unlabelcons: 0.0516 (0.0459)  time: 1.0084  data: 0.0239  max mem: 10468
Epoch: [16]  [130/300]  eta: 0:02:52  lr: 0.000100  loss: 2.7546 (2.8344)  loss_bbox: 1.4652 (1.4827)  loss_giou: 1.3002 (1.3065)  loss_unlabelcons: 0.0348 (0.0452)  time: 1.0360  data: 0.0359  max mem: 10468
Epoch: [16]  [140/300]  eta: 0:02:40  lr: 0.000100  loss: 2.6229 (2.8242)  loss_bbox: 1.3424 (1.4743)  loss_giou: 1.2744 (1.3036)  loss_unlabelcons: 0.0336 (0.0463)  time: 0.9701  data: 0.0238  max mem: 10468
Epoch: [16]  [150/300]  eta: 0:02:31  lr: 0.000100  loss: 2.8328 (2.8419)  loss_bbox: 1.4061 (1.4864)  loss_giou: 1.3304 (1.3088)  loss_unlabelcons: 0.0500 (0.0467)  time: 0.9840  data: 0.0246  max mem: 10468
Epoch: [16]  [160/300]  eta: 0:02:22  lr: 0.000100  loss: 2.8366 (2.8359)  loss_bbox: 1.4238 (1.4827)  loss_giou: 1.3361 (1.3070)  loss_unlabelcons: 0.0409 (0.0462)  time: 1.1066  data: 0.0249  max mem: 10468
Epoch: [16]  [170/300]  eta: 0:02:12  lr: 0.000100  loss: 2.7952 (2.8398)  loss_bbox: 1.5045 (1.4868)  loss_giou: 1.2699 (1.3065)  loss_unlabelcons: 0.0369 (0.0464)  time: 1.0723  data: 0.0272  max mem: 10468
Epoch: [16]  [180/300]  eta: 0:02:03  lr: 0.000100  loss: 2.8205 (2.8422)  loss_bbox: 1.5045 (1.4881)  loss_giou: 1.2765 (1.3077)  loss_unlabelcons: 0.0396 (0.0464)  time: 1.0961  data: 0.0388  max mem: 10468
Epoch: [16]  [190/300]  eta: 0:01:51  lr: 0.000100  loss: 2.8189 (2.8405)  loss_bbox: 1.4212 (1.4885)  loss_giou: 1.2761 (1.3056)  loss_unlabelcons: 0.0379 (0.0463)  time: 0.9750  data: 0.0238  max mem: 10468
Epoch: [16]  [200/300]  eta: 0:01:41  lr: 0.000100  loss: 2.7779 (2.8388)  loss_bbox: 1.4080 (1.4877)  loss_giou: 1.2639 (1.3041)  loss_unlabelcons: 0.0547 (0.0470)  time: 0.9265  data: 0.0237  max mem: 10468
Epoch: [16]  [210/300]  eta: 0:01:31  lr: 0.000100  loss: 2.7779 (2.8380)  loss_bbox: 1.4577 (1.4878)  loss_giou: 1.2604 (1.3034)  loss_unlabelcons: 0.0461 (0.0468)  time: 1.0549  data: 0.0353  max mem: 10468
Epoch: [16]  [220/300]  eta: 0:01:21  lr: 0.000100  loss: 2.8466 (2.8414)  loss_bbox: 1.5045 (1.4888)  loss_giou: 1.2978 (1.3057)  loss_unlabelcons: 0.0440 (0.0468)  time: 1.0189  data: 0.0235  max mem: 10468
Epoch: [16]  [230/300]  eta: 0:01:10  lr: 0.000100  loss: 2.8092 (2.8386)  loss_bbox: 1.4554 (1.4857)  loss_giou: 1.2997 (1.3065)  loss_unlabelcons: 0.0371 (0.0463)  time: 0.9695  data: 0.0246  max mem: 10468
Epoch: [16]  [240/300]  eta: 0:01:00  lr: 0.000100  loss: 2.7415 (2.8328)  loss_bbox: 1.4103 (1.4819)  loss_giou: 1.2914 (1.3051)  loss_unlabelcons: 0.0323 (0.0458)  time: 0.9727  data: 0.0248  max mem: 10468
Epoch: [16]  [250/300]  eta: 0:00:50  lr: 0.000100  loss: 2.6927 (2.8295)  loss_bbox: 1.3822 (1.4804)  loss_giou: 1.2624 (1.3025)  loss_unlabelcons: 0.0431 (0.0466)  time: 0.9960  data: 0.0243  max mem: 10468
Epoch: [16]  [260/300]  eta: 0:00:40  lr: 0.000100  loss: 2.7667 (2.8324)  loss_bbox: 1.4176 (1.4840)  loss_giou: 1.2541 (1.3014)  loss_unlabelcons: 0.0577 (0.0470)  time: 0.9765  data: 0.0358  max mem: 10468
Epoch: [16]  [270/300]  eta: 0:00:30  lr: 0.000100  loss: 2.7199 (2.8218)  loss_bbox: 1.3690 (1.4759)  loss_giou: 1.2541 (1.2991)  loss_unlabelcons: 0.0436 (0.0468)  time: 1.0226  data: 0.0245  max mem: 10468
Epoch: [16]  [280/300]  eta: 0:00:20  lr: 0.000100  loss: 2.7445 (2.8228)  loss_bbox: 1.4074 (1.4760)  loss_giou: 1.2686 (1.2989)  loss_unlabelcons: 0.0436 (0.0480)  time: 1.0340  data: 0.0239  max mem: 10468
Epoch: [16]  [290/300]  eta: 0:00:10  lr: 0.000100  loss: 2.7857 (2.8217)  loss_bbox: 1.3592 (1.4752)  loss_giou: 1.3061 (1.2978)  loss_unlabelcons: 0.0596 (0.0487)  time: 0.9345  data: 0.0310  max mem: 10468
Epoch: [16]  [299/300]  eta: 0:00:01  lr: 0.000100  loss: 2.8120 (2.8249)  loss_bbox: 1.3592 (1.4776)  loss_giou: 1.3149 (1.2988)  loss_unlabelcons: 0.0512 (0.0485)  time: 0.9677  data: 0.0206  max mem: 10468
Epoch: [16] Total time: 0:05:02 (1.0090 s / it)
Averaged stats: lr: 0.000100  loss: 2.8120 (2.8249)  loss_bbox: 1.3592 (1.4776)  loss_giou: 1.3149 (1.2988)  loss_unlabelcons: 0.0512 (0.0485)
epoch imgs: 4800
Epoch: [17]  [  0/300]  eta: 0:12:31  lr: 0.000100  loss: 2.6215 (2.6215)  loss_bbox: 1.2995 (1.2995)  loss_giou: 1.2328 (1.2328)  loss_unlabelcons: 0.0893 (0.0893)  time: 2.5048  data: 1.8055  max mem: 10468
Epoch: [17]  [ 10/300]  eta: 0:05:06  lr: 0.000100  loss: 2.9031 (2.8929)  loss_bbox: 1.5896 (1.5276)  loss_giou: 1.3225 (1.3228)  loss_unlabelcons: 0.0437 (0.0424)  time: 1.0561  data: 0.1744  max mem: 10468
Epoch: [17]  [ 20/300]  eta: 0:04:45  lr: 0.000100  loss: 2.7376 (2.8023)  loss_bbox: 1.3884 (1.4518)  loss_giou: 1.3114 (1.3109)  loss_unlabelcons: 0.0328 (0.0396)  time: 0.9435  data: 0.0231  max mem: 10468
Epoch: [17]  [ 30/300]  eta: 0:04:29  lr: 0.000100  loss: 2.7177 (2.8024)  loss_bbox: 1.3926 (1.4604)  loss_giou: 1.2880 (1.3018)  loss_unlabelcons: 0.0344 (0.0403)  time: 0.9687  data: 0.0240  max mem: 10468
Epoch: [17]  [ 40/300]  eta: 0:04:16  lr: 0.000100  loss: 2.6843 (2.8117)  loss_bbox: 1.3622 (1.4649)  loss_giou: 1.2977 (1.3079)  loss_unlabelcons: 0.0418 (0.0389)  time: 0.9544  data: 0.0244  max mem: 10468
Epoch: [17]  [ 50/300]  eta: 0:04:04  lr: 0.000100  loss: 2.6794 (2.7976)  loss_bbox: 1.3362 (1.4578)  loss_giou: 1.2986 (1.3039)  loss_unlabelcons: 0.0252 (0.0359)  time: 0.9483  data: 0.0362  max mem: 10468
Epoch: [17]  [ 60/300]  eta: 0:03:51  lr: 0.000100  loss: 2.7515 (2.8120)  loss_bbox: 1.3973 (1.4698)  loss_giou: 1.3006 (1.3082)  loss_unlabelcons: 0.0220 (0.0339)  time: 0.9139  data: 0.0241  max mem: 10468
Epoch: [17]  [ 70/300]  eta: 0:03:38  lr: 0.000100  loss: 2.8538 (2.8176)  loss_bbox: 1.5005 (1.4659)  loss_giou: 1.3542 (1.3171)  loss_unlabelcons: 0.0242 (0.0346)  time: 0.8740  data: 0.0237  max mem: 10468
Epoch: [17]  [ 80/300]  eta: 0:03:30  lr: 0.000100  loss: 2.8277 (2.8178)  loss_bbox: 1.4503 (1.4669)  loss_giou: 1.3413 (1.3168)  loss_unlabelcons: 0.0275 (0.0341)  time: 0.9409  data: 0.0364  max mem: 10468
Epoch: [17]  [ 90/300]  eta: 0:03:21  lr: 0.000100  loss: 2.7890 (2.8291)  loss_bbox: 1.4868 (1.4765)  loss_giou: 1.2949 (1.3185)  loss_unlabelcons: 0.0245 (0.0341)  time: 0.9972  data: 0.0264  max mem: 10468
Epoch: [17]  [100/300]  eta: 0:03:11  lr: 0.000100  loss: 2.8032 (2.8316)  loss_bbox: 1.4915 (1.4782)  loss_giou: 1.3208 (1.3193)  loss_unlabelcons: 0.0300 (0.0342)  time: 0.9689  data: 0.0258  max mem: 10468
Epoch: [17]  [110/300]  eta: 0:03:03  lr: 0.000100  loss: 2.8365 (2.8386)  loss_bbox: 1.5258 (1.4870)  loss_giou: 1.3116 (1.3163)  loss_unlabelcons: 0.0357 (0.0352)  time: 0.9897  data: 0.0236  max mem: 10468
Epoch: [17]  [120/300]  eta: 0:02:54  lr: 0.000100  loss: 2.8958 (2.8353)  loss_bbox: 1.5313 (1.4855)  loss_giou: 1.2988 (1.3126)  loss_unlabelcons: 0.0456 (0.0372)  time: 1.0256  data: 0.0237  max mem: 10468
Epoch: [17]  [130/300]  eta: 0:02:43  lr: 0.000100  loss: 2.8531 (2.8375)  loss_bbox: 1.4193 (1.4858)  loss_giou: 1.3020 (1.3128)  loss_unlabelcons: 0.0533 (0.0388)  time: 0.9322  data: 0.0366  max mem: 10468
Epoch: [17]  [140/300]  eta: 0:02:34  lr: 0.000100  loss: 2.8531 (2.8384)  loss_bbox: 1.4108 (1.4885)  loss_giou: 1.3406 (1.3089)  loss_unlabelcons: 0.0595 (0.0410)  time: 0.9167  data: 0.0244  max mem: 10468
Epoch: [17]  [150/300]  eta: 0:02:24  lr: 0.000100  loss: 2.8382 (2.8452)  loss_bbox: 1.4845 (1.4937)  loss_giou: 1.3072 (1.3101)  loss_unlabelcons: 0.0519 (0.0415)  time: 0.9865  data: 0.0234  max mem: 10468
Epoch: [17]  [160/300]  eta: 0:02:15  lr: 0.000100  loss: 2.7084 (2.8408)  loss_bbox: 1.4304 (1.4916)  loss_giou: 1.3040 (1.3082)  loss_unlabelcons: 0.0342 (0.0410)  time: 1.0148  data: 0.0334  max mem: 10468
Epoch: [17]  [170/300]  eta: 0:02:05  lr: 0.000100  loss: 2.7084 (2.8371)  loss_bbox: 1.3716 (1.4895)  loss_giou: 1.2571 (1.3067)  loss_unlabelcons: 0.0327 (0.0408)  time: 0.9996  data: 0.0238  max mem: 10468
Epoch: [17]  [180/300]  eta: 0:01:56  lr: 0.000100  loss: 2.6926 (2.8283)  loss_bbox: 1.3644 (1.4825)  loss_giou: 1.2571 (1.3055)  loss_unlabelcons: 0.0339 (0.0403)  time: 0.9584  data: 0.0256  max mem: 10468
Epoch: [17]  [190/300]  eta: 0:01:46  lr: 0.000100  loss: 2.7312 (2.8319)  loss_bbox: 1.3655 (1.4861)  loss_giou: 1.3054 (1.3055)  loss_unlabelcons: 0.0313 (0.0403)  time: 0.9575  data: 0.0233  max mem: 10468
Epoch: [17]  [200/300]  eta: 0:01:36  lr: 0.000100  loss: 2.7328 (2.8296)  loss_bbox: 1.4569 (1.4853)  loss_giou: 1.3097 (1.3041)  loss_unlabelcons: 0.0323 (0.0402)  time: 0.9563  data: 0.0238  max mem: 10468
Epoch: [17]  [210/300]  eta: 0:01:27  lr: 0.000100  loss: 2.7064 (2.8310)  loss_bbox: 1.4294 (1.4875)  loss_giou: 1.2934 (1.3036)  loss_unlabelcons: 0.0321 (0.0399)  time: 1.0392  data: 0.0363  max mem: 10468
Epoch: [17]  [220/300]  eta: 0:01:17  lr: 0.000100  loss: 2.7010 (2.8256)  loss_bbox: 1.4294 (1.4834)  loss_giou: 1.2668 (1.3022)  loss_unlabelcons: 0.0305 (0.0400)  time: 1.0325  data: 0.0239  max mem: 10468
Epoch: [17]  [230/300]  eta: 0:01:08  lr: 0.000100  loss: 2.6788 (2.8201)  loss_bbox: 1.3964 (1.4804)  loss_giou: 1.2630 (1.2996)  loss_unlabelcons: 0.0405 (0.0401)  time: 0.9860  data: 0.0239  max mem: 10468
Epoch: [17]  [240/300]  eta: 0:00:58  lr: 0.000100  loss: 2.7060 (2.8161)  loss_bbox: 1.4349 (1.4789)  loss_giou: 1.2224 (1.2966)  loss_unlabelcons: 0.0430 (0.0406)  time: 1.0421  data: 0.0336  max mem: 10468
Epoch: [17]  [250/300]  eta: 0:00:48  lr: 0.000100  loss: 2.7513 (2.8160)  loss_bbox: 1.4445 (1.4796)  loss_giou: 1.2306 (1.2954)  loss_unlabelcons: 0.0454 (0.0411)  time: 1.0327  data: 0.0235  max mem: 10468
Epoch: [17]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 2.7513 (2.8186)  loss_bbox: 1.4445 (1.4801)  loss_giou: 1.2449 (1.2965)  loss_unlabelcons: 0.0592 (0.0420)  time: 0.9494  data: 0.0266  max mem: 10468
Epoch: [17]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 2.8241 (2.8191)  loss_bbox: 1.3895 (1.4808)  loss_giou: 1.2379 (1.2956)  loss_unlabelcons: 0.0646 (0.0428)  time: 0.9012  data: 0.0241  max mem: 10468
Epoch: [17]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 2.7017 (2.8198)  loss_bbox: 1.3807 (1.4794)  loss_giou: 1.2774 (1.2968)  loss_unlabelcons: 0.0579 (0.0437)  time: 1.0429  data: 0.0233  max mem: 10468
Epoch: [17]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 2.7999 (2.8225)  loss_bbox: 1.4157 (1.4811)  loss_giou: 1.2993 (1.2972)  loss_unlabelcons: 0.0579 (0.0442)  time: 1.1143  data: 0.0323  max mem: 10468
Epoch: [17]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 2.9872 (2.8331)  loss_bbox: 1.5147 (1.4890)  loss_giou: 1.3683 (1.2999)  loss_unlabelcons: 0.0463 (0.0441)  time: 1.0197  data: 0.0201  max mem: 10468
Epoch: [17] Total time: 0:04:54 (0.9833 s / it)
Averaged stats: lr: 0.000100  loss: 2.9872 (2.8331)  loss_bbox: 1.5147 (1.4890)  loss_giou: 1.3683 (1.2999)  loss_unlabelcons: 0.0463 (0.0441)
epoch imgs: 4800
Epoch: [18]  [  0/300]  eta: 0:12:57  lr: 0.000100  loss: 2.9726 (2.9726)  loss_bbox: 1.5296 (1.5296)  loss_giou: 1.4067 (1.4067)  loss_unlabelcons: 0.0363 (0.0363)  time: 2.5908  data: 1.5471  max mem: 10468
Epoch: [18]  [ 10/300]  eta: 0:04:58  lr: 0.000100  loss: 2.9190 (2.8945)  loss_bbox: 1.5296 (1.5217)  loss_giou: 1.3405 (1.3366)  loss_unlabelcons: 0.0309 (0.0362)  time: 1.0309  data: 0.1576  max mem: 10468
Epoch: [18]  [ 20/300]  eta: 0:04:41  lr: 0.000100  loss: 2.8920 (2.8935)  loss_bbox: 1.5081 (1.5237)  loss_giou: 1.3133 (1.3229)  loss_unlabelcons: 0.0429 (0.0470)  time: 0.9260  data: 0.0270  max mem: 10468
Epoch: [18]  [ 30/300]  eta: 0:04:22  lr: 0.000100  loss: 2.8747 (2.8622)  loss_bbox: 1.4579 (1.5045)  loss_giou: 1.2969 (1.3153)  loss_unlabelcons: 0.0381 (0.0424)  time: 0.9427  data: 0.0234  max mem: 10468
Epoch: [18]  [ 40/300]  eta: 0:04:23  lr: 0.000100  loss: 2.8747 (2.8956)  loss_bbox: 1.4789 (1.5363)  loss_giou: 1.2868 (1.3173)  loss_unlabelcons: 0.0330 (0.0419)  time: 1.0230  data: 0.0271  max mem: 10468
Epoch: [18]  [ 50/300]  eta: 0:04:15  lr: 0.000100  loss: 2.8275 (2.8585)  loss_bbox: 1.4789 (1.5074)  loss_giou: 1.2868 (1.3058)  loss_unlabelcons: 0.0456 (0.0453)  time: 1.0976  data: 0.0391  max mem: 10468
Epoch: [18]  [ 60/300]  eta: 0:04:00  lr: 0.000100  loss: 2.6960 (2.8563)  loss_bbox: 1.4400 (1.5079)  loss_giou: 1.2639 (1.3043)  loss_unlabelcons: 0.0475 (0.0440)  time: 0.9831  data: 0.0234  max mem: 10468
Epoch: [18]  [ 70/300]  eta: 0:03:50  lr: 0.000100  loss: 2.7759 (2.8387)  loss_bbox: 1.4190 (1.4962)  loss_giou: 1.2639 (1.3001)  loss_unlabelcons: 0.0371 (0.0424)  time: 0.9545  data: 0.0231  max mem: 10468
Epoch: [18]  [ 80/300]  eta: 0:03:43  lr: 0.000100  loss: 2.6710 (2.8356)  loss_bbox: 1.3923 (1.4948)  loss_giou: 1.2158 (1.2962)  loss_unlabelcons: 0.0401 (0.0446)  time: 1.0536  data: 0.0240  max mem: 10468
Epoch: [18]  [ 90/300]  eta: 0:03:33  lr: 0.000100  loss: 2.8874 (2.8532)  loss_bbox: 1.4552 (1.5068)  loss_giou: 1.2906 (1.3008)  loss_unlabelcons: 0.0502 (0.0456)  time: 1.0537  data: 0.0236  max mem: 10468
